Stage Name,Full Name,Date of Birth,Group,Debut,Company,Country,Second Country,Birthplace,Other Group,Former Group
E.sha,Kwon Yena,29/12/1998,X:IN,11/04/2023,Escrow,Australia,South Korea,,,
E.sol,Jeon Jaehyuk,17/09/1992,14U,17/04/2017,BG,South Korea,,,,
E:U,Park Jiwon,19/05/1998,Everglow,18/03/2019,Yuehua,South Korea,,,,
E-Chan,Lee Changmin,19/02/1997,DKB,3/02/2020,Brave,South Korea,,,,
E'Dawn,Kim Hyojong,1/06/1994,,,,South Korea,,,,PENTAGON
Eden,Jae Won,27/03/1998,NINE.i,30/03/2022,FirstOne,South Korea,,,,
EJ,Kim Eunji,13/08/1997,ALICE,1/07/2017,IOK Company,South Korea,,,,
Eli,Ellison Kim,13/03/1991,U-KISS,28/08/2008,NH Media,USA,South Korea,Los Angeles,,
Elkie,Chong Ting Yan,2/11/1998,,,,Hong Kong,,Hong Kong,,CLC
Ella,Kim Kyungjoo,26/03/1998,,,,South Korea,,,,Cherry Bullet| Pixy
Ellin,Kim Minyoung,2/04/1990,Crayon Pop,18/07/2012,Chrome,South Korea,,Daegu,,
Elly,Jung Haerim,20/07/1998,Weki Meki,8/08/2017,Fantagio,South Korea,,,,
Ellyn,Bang Sunhee,19/10/2002,Girlkind,16/01/2018,Nextlevel,South Korea,,,,
Elva,Lee Yonghwa,5/05/2003,ILY:1,4/04/2022,FC ENM,South Korea,,,,
Eric,Moon Junghyuk,16/02/1979,Shinhwa,24/03/1998,SM| Good| Shinhwa,South Korea,,Seoul,,
Eric,Son Youngjae,22/12/2000,The Boyz,31/12/2017,Cre.Ker,South Korea,,,,
Eseo,Noh Hyunjung,4/03/1996,LUNARSOLAR,2/09/2020,J Planet,South Korea,,,,
Eson,Kim Jungmin,28/12/1996,We In The Zone,27/05/2019,Choon,South Korea,USA,Honolulu,,
E-tion,Lee Changyoon,24/12/1994,ONF,2/08/2017,WM,South Korea,,Jeonju,,
Euaerin,Lee Hyemin,3/05/1988,,,,South Korea,,Seoul,,9Muses
Euijin,Lee Euijin,15/02/1990,Bigflo,19/07/2014,HO,South Korea,,Seoul,,
Euijin,Hong Euijin,8/10/1996,Sonamoo,29/12/2014,TS,South Korea,,Gwangju,UNI.T,
Eun,Choi Eunmi,14/05/1990,Two X,20/08/2012,J. Tune,South Korea,,,,
Euna,,25/05/2003,We;Na,5/09/2022,Shine E&M,South Korea,,,,
EunB,Shin Eunbi,17/09/2000,Maka Maka,4/08/2020,Dreamus,South Korea,,,,Lip Bubble
EunB,Byun Eunbi,23/11/2000,PRECIOUS,23/09/2020,Umi,South Korea,,Busan,,
Eunbi,Kwon Eunbi,27/09/1995,IZ*ONE,29/10/2018,Off The Record,South Korea,,Seoul,,
Eunbin,Kwon Eunbin,6/01/2000,CLC,19/03/2015,Cube,South Korea,,Seoul,,
Eunchae,Son Eunchae,6/10/1999,bugAboo,25/10/2021,A team,South Korea,,Pohang,,
Eunchae,Kwon Chaewon,26/05/1999,DIA,14/07/2015,MBK,South Korea,,,,
Eunchae,Hong Eunchae,10/11/2006,LE SSERAFIM,2/05/2022,Source,South Korea,,,,
Eunchan,Choi Byeongseop,27/02/2001,TEMPEST,2/03/2022,Yuehua,South Korea,,,,
Eunha,Jung Eunbi,30/05/1997,VIVIZ,9/02/2022,Big Planet Made,South Korea,,Seoul,,Gfriend
Eunho,Shin Donggeun,10/09/1992,UNVS,23/02/2020,CHITWN,South Korea,,,,
Eunho,Myung Eunho,25/03/2001,YOUNITE,20/04/2022,Brand New,South Korea,,,,
Eunhyuk,Lee Hyukjae,4/04/1986,Super Junior,6/11/2005,SM,South Korea,,Ilsan,Super Junior-M,
Eunice,Heo Sooyeon,2/09/1991,DIA,14/07/2015,MBK,South Korea,,Busan,,
Eunil,Kim Eunil,21/11/2003,TRENDZ,5/01/2022,Interpark,South Korea,,,,
Eunjae,Kwak Eunjae,2/05/1996,14U,17/04/2017,BG,South Korea,,,,
Eunji,Jung Eunji,18/08/1993,Apink,19/04/2011,Plan A,South Korea,,Busan,,
Eunji,Hong Eunji,19/07/1992,Brave Girls,8/04/2011,Brave,South Korea,,Seoul,,
Eunjin,Ahn Eunjin,31/08/1997,,,,South Korea,,Mokpo,,DIA
Eunjin,Moon Eunjin,5/11/1998,Highteen,14/10/2016,Elijah,South Korea,,,,
Eunjin,Ma Eunjin,23/05/1997,Playback,25/06/2015,Coridel,South Korea,,Wonju,,
Eunjo,Park Eunjo,7/03/2002,Dreamnote,7/11/2018,iME,South Korea,,,,
Eunjun,Choi Eunjun,6/08/1999,AIMERS,17/11/2022,Hyper Rhythm,South Korea,,,,Spectrum
Eunjung,Ham Eunjung,12/12/1988,T-ara,29/07/2009,MBK,South Korea,,Seoul,,
Eunki,Hong Eunki,29/09/1997,,,,South Korea,,,,RAINZ
Eunkwang,Seo Eunkwang,22/11/1990,BtoB,21/03/2012,Cube,South Korea,,Yongin,,
Eunsang,Lee Eunsang,26/10/2002,YOUNITE,20/04/2022,Brand New,South Korea,,,,X1
Eunseo,Son Juyeon,27/05/1998,WJSN,25/02/2016,Starship,South Korea,,Incheon,WJSN The Black,
Eunsung,Lee Eunsung,7/09/2000,TheEastLight,15/11/2018,Stardium,South Korea,,,,
Eunwoo,Cha Eunwoo,30/03/1997,ASTRO,23/02/2016,Fantagio,South Korea,,Gunpo,,
Eunwoo,Jeong Eunwoo,1/07/1998,Hinapia,3/11/2019,Alseulbit,South Korea,,,Pristin V,Pristin
Eunyoung,Joo Eunyoung,12/06/1992,Two X,20/08/2012,J. Tune,South Korea,,,,
Exy,Chu Sojung,6/11/1995,WJSN,25/02/2016,Starship,South Korea,,Busan,WJSN The Black,
Eyedi,Nam Yujin,8/12/1995,,,,South Korea,,,,
E-Young,Noh Yiyoung,16/08/1992,After School,15/01/2009,Pledis,South Korea,,Chuncheon,,
Fatou,Fatou Samba,23/03/1995,Blackswan,16/10/2020,DR,Belgium,Senegal,Yoff,,
Fei,Wang FeiFei,27/04/1987,miss A,1/07/2010,JYP,China,,Haikou,,
Felix,Lee Youngbok,15/09/2000,Stray Kids,25/03/2018,JYP,South Korea,,Sydney,,
G.NA,Gina Jane Choi,13/09/1987,,,,Canada,South Korea,Edmonton,,
G.O,Jung Byunghee,6/11/1987,MBLAQ,14/10/2009,J. Tune,South Korea,,Changwon,,
Gabin,Kim Gabin,18/09/1989,Blady,16/05/2011,Star Planet,South Korea,,Busan,,
Gabin,Yoo Seunghyun,11/09/2001,JWiiver,17/02/2022,JTG,South Korea,,Busan,,
Gaeul,Park Gaeul,8/05/1999,Favorite,5/07/2017,Astory,South Korea,,Seoul,,
Gaeul,Kim Gaeul,24/09/2002,IVE,1/12/2021,Starship,South Korea,,Incheon,,
Gaeun,Cho Kaeun,28/07/1992,,,,South Korea,,Changwon,,Dal Shabet
Gaeun,Lee Gaeun,18/07/2000,ARTBEAT,16/11/2022,AB Creative,South Korea,,,,
Gaeun,Oh Gaeun,8/11/2005,LIMELIGHT,17/02/2023,143,South Korea,,,,
Gaga,Li Jia Jia,1/09/1999,,,,China,,,,NATURE
Gaga,Lee Soobin,10/11/1994,Gate9,26/01/1999,JYP| SidusHQ,South Korea,,,,
Gahyeon,Lee Gahyeon,3/02/1999,Dreamcatcher,13/01/2017,Happy Face,South Korea,,Seongnam,,
Gain,Son Gain,20/09/1987,Brown Eyed Girls,2/03/2006,Mystic,South Korea,,,,
Gaon,Beom Gaon,9/03/2001,Bonus Baby,1/01/2017,Maroo,South Korea,,,,
Garam,Kim Garam,16/11/2005,,,,South Korea,,,,LE SSERAFIM
Gayoon,Heo Gayoon,18/05/1990,4minute,15/06/2009,Cube,South Korea,,Seoul,2YOON,
Gayoung,Kim Gayoung,2/12/1991,Stellar,28/08/2011,Pascal,South Korea,,Seoul,,
G-Dragon,Kwon Jiyong,18/08/1988,BIGBANG,19/08/2006,YG,South Korea,,Seoul,GD&TOP,
Genie,Cho Heejin,19/03/2002,TRACER,3/04/2022,Gleamedia,South Korea,,,,
Geonu,Lee Geonwoo,2/02/2001,JUST B,30/06/2021,Bluedot,South Korea,,,,
Geumhee,Han Geumhee,4/03/2005,CSR,27/07/2022,A2Z,South Korea,,Incheon,,
Geummi,Baek Boram,18/06/1988,Crayon Pop,18/07/2012,Chrome,South Korea,,Seoul,,
Gihwan,Kim Gihwan,24/11/1993,SIGNAL,28/08/2019,J-Star,South Korea,,,,
Gijung,Kim Gijung,24/01/2001,IM,4/04/2022,FC ENM,South Korea,,,,
Gikwang,Lee Gikwang,30/03/1990,Highlight,14/10/2009,Around Us,South Korea,,Gwangju,,Beast
Giru,Park Giru,14/08/1991,Blady,16/05/2011,Star Planet,South Korea,,Incheon,,
Giselle,Uchinaga Aeri,30/10/2000,aespa,17/11/2020,SM,Japan,,,,
Giseok,Jun Giseok,2/05/1997,IM,4/04/2022,FC ENM,South Korea,,,,
GK,Kim Kwanghyun,29/09/1998,DKB,3/02/2020,Brave,South Korea,,,,
Go_U,Jang Junho,15/06/2001,BLITZERS,12/05/2021,Wuzo,South Korea,,,,
Goeun,Na Goeun,3/09/1999,Purple Kiss,15/03/2021,RBW,South Korea,,,,
Gohn,Kim Dongsung,1/08/1992,,,,South Korea,,Seoul,,Topp Dogg
Gohyeon,Go Hyeon,1/10/1994,14U,17/04/2017,BG,South Korea,,,,
Gon,Kim Seongjung,13/11/1998,ARGON,11/03/2019,MSH,South Korea,,,,
Gongchan,Gong Chansik,14/08/1993,B1A4,19/04/2010,WM,South Korea,,Suncheon,,
Gowon,Park Chaewon,19/11/2000,LOONA,20/08/2018,Blockberry,South Korea,,,Loona yyxy,
Gowoon,Moon Yujeong,18/12/1998,Berry Good,21/05/2014,Asia Bridge,South Korea,,,,
Gracie,Kim Gaeun,28/10/1996,H.U.B,9/02/2017,New Planet,South Korea,,,,
Gun,Kwak Gun,29/09/2001,14U,17/04/2017,BG,South Korea,,,,
Gunmin,Lee Gunmin,3/10/1994,B.I.G,9/07/2014,GH,South Korea,,Gangwon,,
Gunwoo,Lee Gunwoo,30/01/1989,MYNAME,27/10/2011,H2,South Korea,,Daejeon,,
Gunwoo,Kim Gunwoo,28/05/2002,T1419,21/09/2007,CJ E&M,South Korea,,,,
Gyehyeon,Jo Gyehyeon,14/05/1999,Verivery,1/09/2019,Jellyfish,South Korea,,,,
Gyeongtae,Kwon Gyeongtae,23/07/2000,14U,17/04/2017,BG,South Korea,,,,
Gyujin,Han Gyujin,21/11/1997,UP10TION,10/09/2015,TOP Media,South Korea,,Icheon,,
Gyuri,Jang Gyuri,27/12/1997,,,,South Korea,,Seoul,,fromis_9
Gyuri,Park Gyuri,21/05/1988,KARA,29/03/2007,DSP,South Korea,,Seoul,,
Habin,Yoo Habin,10/03/2002,,,,South Korea,,,,Dreamnote
Haebin,Han Haebin,16/08/1995,Gugudan,28/06/2016,Jellyfish,South Korea,,,,
Haechan,Lee Donghyuk,6/06/2000,NCT,9/04/2016,SM,South Korea,,,NCT 127| NCT Dream,
Haein,Yeom Haein,19/05/1995,LABOUM,27/08/2014,NH,South Korea,,Ojeonggu,,
Haemin,Jung Haemin,16/03/2004,8TURN,30/01/2023,MNH,South Korea,,Cheonan,,
Haena,Jeon Eunbi,19/02/2002,ANS,16/09/2019,ANS,South Korea,,,,
Haena,Lee Haena,2/06/1991,Matilda,18/03/2016,Box,South Korea,,,,
Haeri,Lee Haeri,14/02/1985,Davichi,4/02/2008,CJ E&M,South Korea,,Seoul,,
Haeri,Jung Haeri,14/01/1997,P.O.P,26/07/2017,DWM,South Korea,,Seoul,,
Haerin,Kang Haerin,15/05/2006,NewJeans,22/07/2022,ADOR,South Korea,,Gimcheon,,
Haeryeong,Na Haeryeong,11/11/1994,BESTie,11/07/2013,YNB,South Korea,,,,
Haeun,Yoon Haeun,12/03/1999,3YE,21/05/2019,GH,South Korea,,,,Apple.B
Haeun,Lee Haeun,25/06/2002,ARTBEAT,16/11/2022,AB Creative,South Korea,,,,
Haeun,Lim Haeun,2/11/2008,Lapillus,22/06/2022,MLD,South Korea,,,,
Haewon,Oh Haewon,25/02/2003,NMIXX,22/02/2022,JYP,South Korea,,,,
Haeyeon,Lee Taeyeon,11/01/1994,Gate9,26/01/1999,JYP| SidusHQ,South Korea,,,,
Haeyoon,Park Haeyoon,10/01/1996,Cherry Bullet,21/01/2019,FNC,South Korea,,,,
Hajeong,Lee Hajeong,23/09/1997,,,,South Korea,,,,NeonPunch
Hakmin,Lee Hakmin,20/09/2000,TRCNG,10/10/2017,TS,South Korea,,,,
Hamin,Jo Hamin,24/10/1997,ENOi,19/04/2019,KITHEWHALE,South Korea,,,,
Han,Han Jisung,14/09/2000,Stray Kids,25/03/2018,JYP,South Korea,,Incheon,3RACHA,
Han Geng,Han Geng,9/02/1984,,,,China,,Mudanjiang,,Super Junior
Han Hyeri,Han Hyeri,24/08/1997,I.B.I,29/10/2014,Star Crew,South Korea,,Gwangmyeong,,
Han Leeseul,Han Jiyoon,12/02/2000,Rockit Girl,30/05/2019,Rolling,South Korea,,,,
Hana,Shin Bora,30/04/1993,Gugudan,28/06/2016,Jellyfish,South Korea,,,,
Hana,Hayase Hana,27/02/2000,ILY:1,4/04/2022,FC ENM,Japan,,,,
Hana,Jung Hana,2/02/1990,SECRET,13/10/2009,TS,South Korea,,Uljeongbu,,
Hanbin,Ngo Ngoc Hung,19/01/1998,TEMPEST,2/03/2022,Yuehua,Vietnam,,,,
Hanbyeol,Ahn Hanbyeol,13/10/2003,,,,South Korea,,,,Dreamnote
Hanbyul,Kyung Hanbyul,1/07/2005,PRECIOUS,23/09/2020,Umi,South Korea,,Seoul,,
Handong,Han Dong,26/03/1996,Dreamcatcher,13/01/2017,Happy Face,China,,Wuhan,,
Haneul,Lee Haneul,3/06/1996,ARGON,11/03/2019,MSH,South Korea,,,,
Haneul,Choi Haneul,28/11/2000,Saturday,18/07/2018,SD,South Korea,,,,
Hangyeom,Song Hangyeom,17/07/1996,OMEGA X,17/10/2016,JT Corea,South Korea,,,,7 O'clock
Hangyul,Lee Hangyul,7/12/1999,BAE173,19/11/2020,PocketDol,South Korea,,,,X1| IM
Hani,Ahn Hee-yeon,1/05/1992,EXID,16/02/2012,Yedang,South Korea,,Seoul,,
Hankook,Cho Hankook,3/04/2002,TRENDZ,5/01/2022,Interpark,South Korea,,Seoul,,
Hanna,Shin Jiyeon,19/02/1994,MIXX,2/05/2016,Chiko,South Korea,,,,
Hannah,Bae Hyunyoung,23/10/1999,Queenz Eye,24/10/2022,Big Mountain,South Korea,,Seongnam,,
Hanni,Pham Ngoc Han,6/10/2004,NewJeans,22/07/2022,ADOR,Vietnam,,Melbourne,,
Hanse,Do Hanse,25/09/1997,VICTON,9/11/2016,Plan A,South Korea,,,,
Hansol,Kim Hansol,15/06/1993,,,,South Korea,,Busan,,Topp Dogg
Hanwoom,Byun Hanwoom,5/06/2001,PRECIOUS,23/09/2020,Umi,South Korea,,Seoul,,
Hara†,Koo Hara,13/01/1991,KARA,29/03/2007,DSP,South Korea,,Gwangju,,
Haram,Shin Haram,17/10/2007,BABYMONSTER,0/01/1900,YG,South Korea,,,,
Haram,Kim Haram,13/01/2001,Billlie,10/11/2021,MYSTIC,South Korea,,,,
Hari,,8/04/2005,Girls' World,20/06/2002,Liz,Japan,,Kagoshima,,
Harin,Seo Harin,7/12/2000,BOTOPASS,26/08/2020,WKS ENE,South Korea,,,,
Harin,,21/11/1995,Lusty,26/06/2019,babaplay,South Korea,,Seoul,,
Harin,Ju Harin,29/03/1998,Onewe,9/01/2019,RBW,South Korea,,,,MAS
Harin,Park Guenhye,26/05/2000,Pink Fantasy,28/10/2018,My Doll,South Korea,,,,
Harry-June,Han Harry-June,1/01/2004,DKB,3/02/2020,Brave,South Korea,,,,
Haru,Han Sangsook,6/07/1994,Gate9,26/01/1999,JYP| SidusHQ,South Korea,,Bucheon,,
Haru,Lee Yoojeong,26/02/1997,Ho1iday,26/04/2013,LOEN,South Korea,,,,MyB
Haru,Abe Haruno,21/02/2000,NATURE,3/08/2018,n.CH,Japan,,,,
Haruna,Osato Haruna,30/01/2006,Billlie,10/11/2021,MYSTIC,Japan,,,,
Haruto,Watanabe Haruto,5/04/2004,Treasure,7/08/2020,YG,Japan,,,,
Haseul,Jo Haseul,18/08/1997,LOONA,20/08/2018,Blockberry,South Korea,,Ansan,Loona 1/3,
Havit,Lee Havit,7/06/1999,TRENDZ,5/01/2022,Interpark,South Korea,,Incheon,,
Hayoon,Jung Hayoon,21/11/1998,Bonus Baby,1/01/2017,Maroo,South Korea,,,,MyB
Hayoung,Oh Hayoung,19/07/1996,Apink,19/04/2011,Plan A,South Korea,,Seoul,,
Hayoung,Song Hayoung,29/09/1997,fromis_9,24/01/2018,Off The Record,South Korea,,Gwangju,,
Hayoung,Lee Hayoung,3/08/1993,Playback,25/06/2015,Coridel,South Korea,,,,
Hayoung,Choi Hayoung,22/08/2000,TRCNG,10/10/2017,TS,South Korea,,,,
Hayun,Lee Hayun,29/08/1994,,,,South Korea,,Changwon,,Brave Girls
Hayun,Choi Hayun,16/01/2004,Hi-L,11/08/2021,Kpop Live,South Korea,,Seoul,,
Heechan,Yang Heechan,31/07/1999,DKB,3/02/2020,Brave,South Korea,,,,
Heechul,Kim Heechul,10/07/1983,Super Junior,6/11/2005,SM,South Korea,,Hoengseong,,
Heechul,Jung Heechul,9/12/1989,ZE:A,7/01/2010,Star Empire,South Korea,,Jeju,,
Heedo,Yoon Heedo,22/04/1996,B.I.G,9/07/2014,GH,South Korea,,Seoul,,
Heejin,Song Heejin,19/08/1995,Good Day,30/08/2017,C9,South Korea,,Seoul,,
Heejin,Jeon Heejin,19/10/2000,LOONA,20/08/2018,Blockberry,South Korea,,Seongnam,Loona 1/3|ARTMS,
Heejoo,Jeon Heejoo,30/11/1996,Ho1iday,26/04/2013,LOEN,South Korea,,,,MyB
Heejun,Oh Heejun,8/05/1996,KNK,3/03/2016,YNB,South Korea,,,,
Heeo,Gwak Heeoh,2/05/1994,4TEN,26/08/2014,Jungle,South Korea,,,,
Heeseok,Yun Heeseok,10/06/1997,Limitless,9/07/2019,ONO,South Korea,,,,
Heeseung,Lee Heeseung,15/10/2001,ENHYPEN,30/11/2020,Be:lift,South Korea,,,,
Heesu,Kim Heesu,24/03/1998,Maka Maka,4/08/2020,Dreamus,South Korea,,,,
Heesun,Park Heesun,25/01/2005,Pink Fantasy,28/10/2018,My Doll,South Korea,,,,
Heeyu,Choi Heejae,30/06/1995,MIXX,2/05/2016,Chiko,South Korea,,,,
Henny,Kang Gayoung,1/12/1994,,,,South Korea,,,,MIXX
Henry,Henry Lau,11/10/1989,Super Junior-M,6/11/2005,SM,Canada,Hong Kong| Taiwan,Toronto,,
Heo Chan,Heo Chan,14/12/1995,,,,South Korea,,,,VICTON
High.D,Kim Dohee,21/12/1996,Sonamoo,29/12/2014,TS,South Korea,,Suwon,,
HighTop,Lim Hyeontae,19/03/1994,Bigflo,19/07/2014,HO,South Korea,,,,
Hikaru,Ezaki Hikaru,12/03/2004,Kep1er,1/03/2022,WakeOne,Japan,,,,
Himchan,Kim Himchan,19/04/1990,B.A.P,27/01/2012,TS,South Korea,,Seoul,,
Hina,Nagai Hina,7/04/2003,LIGHTSUM,10/06/2021,Cube,Japan,,Kanagawa,,
Hitomi,Honda Hitomi,6/10/2001,IZ*ONE,29/10/2018,Off The Record,Japan,,Toghichi,,
Hohyeon,Lee Hohyeon,14/10/2001,TRCNG,10/10/2017,TS,South Korea,,,,
Hojoon,Jeon Hojoon,31/10/1992,Topp Dogg,1/04/2020,n.CH,South Korea,,Gwangju,,
Hojung,Go Hojung,20/10/1994,HOTSHOT,29/10/2014,Star Crew,South Korea,,,,
Hongbin,Lee Hongbin,29/09/1993,VIXX,24/05/2012,Jellyfish,South Korea,,Seoul,,
Honggi,Lee Honggi,2/03/1990,FTISLAND,7/06/2007,FNC,South Korea,,Gwangju,,
Hongil,Yoon Hongil,11/01/1999,Astin,16/11/2022,AB Creative,South Korea,,,,
Hongjoong,Kim Hongjoong,7/11/1998,ATEEZ,24/10/2018,KQ,South Korea,,,,
Hongseob,Shim Hongseob,8/01/1998,24K,6/09/2012,Choeun,South Korea,,,,
Hongseok,Yang Hongseok,17/04/1994,PENTAGON,10/10/2016,Cube,South Korea,,,,
Hoon,Yeo Hoonmin,16/08/1991,U-KISS,28/08/2008,NH Media,South Korea,,Namyangju,,
Hoony,Lee Seunghoon,11/01/1992,WINNER,12/08/2014,YG,South Korea,,Busan,,
Hoshi,Kwon Soonyoung,15/06/1996,Seventeen,26/05/2015,Pledis,South Korea,,Namyangju,,
Hoya,Lee Howon,28/03/1991,,,,South Korea,,Busan,Infinite H,Infinite
Hoyoung,Bae Hoyoung,10/08/1998,Verivery,1/09/2019,Jellyfish,South Korea,,,,
Hueningkai,Kai Kamal Huening,14/08/2002,TXT,4/03/2019,Big Hit,USA,South Korea,,,
Hui,Liang Hui,18/07/1995,24K,6/09/2012,Choeun,China,,,,
Hui,Lee Hwitaek,28/08/1993,PENTAGON,10/10/2016,Cube,South Korea,,,,
Huihyeon,Ki Huihyeon,16/06/1995,DIA,14/07/2015,MBK,South Korea,,Namwon,,
Huijun,Noh Huijun,7/10/2003,MCND,27/02/2020,TOP Media,South Korea,,,,
Huiyeon,Oh Huiyeon,1/08/2005,,,,South Korea,,,,LIGHTSUM
Hunter,Papungkorn Lertkiatdamrong,5/10/2005,xikers,30/03/2023,KQ,Thailand,,,,
Hwall,Heo Hyunjoon,9/03/2000,,,,South Korea,,Busan,,The Boyz
Hwanhee,Lee Hwanhee,6/05/1998,UP10TION,10/09/2015,TOP Media,South Korea,,Daejeon,,
Hwani,Jo Sihyeon,16/11/1994,DUSTIN,6/01/2020,LPA,South Korea,,,,
Hwanwoong,Yeo Hwanwoong,26/08/1998,Oneus,9/01/2019,RBW,South Korea,,,,
Hwarang,Park Jonghan,5/12/1995,Spectrum,9/05/2018,WYNN,South Korea,,,,
Hwarang,Son Jaewon,23/04/2001,TEMPEST,2/03/2022,Yuehua,South Korea,,,,
Hwasa,Ahn Hyejin,23/07/1995,Mamamoo,18/06/2014,RBW,South Korea,,Jeonju,,
Hweseung,Yoo Hweseung,28/02/1995,N.Flying,20/05/2015,FNC,South Korea,,,,
Hwi,Lee Choonghyun,4/02/1999,Ciipher,15/03/2021,Rain,South Korea,,,,
Hwi,Jo Mingyu,26/09/2002,Newkidd,25/04/2019,J-FLO,South Korea,,,,
Hwi,Eun Hwi,11/11/2004,TNX,17/05/2022,P NATION,South Korea,,Gangwon,,
Hwichan,Lee Heechan,18/04/1996,Limitless,9/07/2019,ONO,South Korea,,,OMEGA X,
Hwiseo,Jo Hwihyeon,31/07/2002,H1-KEY,5/01/2022,GLG,South Korea,,,,
Hwiyoung,Kim Youngkyun,11/05/1999,SF9,5/10/2016,FNC,South Korea,,,,
Hyangsuk,Lee Hyangsuk,24/04/1991,2EYES,20/07/2013,SidusHQ,South Korea,,Seoul,,
Hyebin,Kim Hyebin,29/03/1997,AREAL,21/08/2020,JZ Factory,South Korea,,,,Rose Finger
Hyebin,Im Hyebin,10/11/1999,Highteen,14/10/2016,Elijah,South Korea,,,,
Hyebin,Lee Hyebin,12/01/1996,MOMOLAND,9/11/2016,Double Kick,South Korea,,Andong,,
Hyein,Lee Hyein,21/04/2008,NewJeans,22/07/2022,ADOR,South Korea,,Incheon,,
Hyejeong,Shin Hyejeong,10/08/1993,AoA,30/07/2012,FNC,South Korea,,Seoul,,
Hyeji,Jeong Hyeji,2/04/1992,4TEN,26/08/2014,Jungle,South Korea,,Seoul,,
Hyejin,Baek Hyejin,21/11/1996,4TEN,26/08/2014,Jungle,South Korea,,Sacheon,,
Hyejin,Kang Hyejin,13/07/2000,CRAXY,3/03/2020,SAITEINMENT,South Korea,,,,
Hyejoo,Park Hyunjoo,12/01/1999,Highteen,14/10/2016,Elijah,South Korea,,,,
Hyeju,Hong Hyeju,9/12/2003,CLASS:y,5/05/2022,Universal,South Korea,,Seoul,,
Hyemi,Pyo Hyemi,3/04/1991,9Muses,12/08/2010,Star Empire,South Korea,,Gwangju,9MUSES A,
Hyemi,Kim Hyemi,10/08/1990,Fiestar,31/08/2012,LOEN,South Korea,,Seoul,,
Hyeoeun,Lee Hyoeun,16/03/1993,Stellar,28/08/2011,Pascal,South Korea,,Seoul,,
Hyeongjun,Song Hyeongjun,30/11/2002,CRAVITY,14/04/2020,Starship,South Korea,,,,X1
Hyeongseok,Chu Hyeongseok,13/09/2000,Astin,16/11/2022,AB Creative,South Korea,,,,
Hyeongshin,Kim Hyungshin,3/05/2002,HOT ISSUE,17/05/2017,FNC,South Korea,,,,
Hyeran,Noh Hyeran,9/04/1993,,,,South Korea,,,,Brave Girls
Hyeri,Lee Hyeri,9/06/1994,Girl's Day,9/07/2010,DreamT,South Korea,,Gwangju,,
Hyerim,Woo Hyerim,1/09/1992,Wonder Girls,13/02/2007,JYP,South Korea,,Seoul,,
Hyerin,Kim Hyerin,13/06/1993,2EYES,20/07/2013,SidusHQ,South Korea,,Seoul,,
Hyerin,Seo Hyerin,23/08/1993,EXID,16/02/2012,Yedang,South Korea,,Gwangju,,
Hyerin,Jeong Hyerin,12/04/2007,tripleS,13/02/2023,MODHAUS,South Korea,,,,
Hyewon,Kang Hyewon,5/07/1999,IZ*ONE,29/10/2018,Off The Record,South Korea,,Yangsan,,
Hyeyeon,Cho Hyeyeon,5/08/2000,,,,South Korea,,,Gugudan Oguogu,Gugudan
Hyeyeon,Kang Hyeyeon,8/12/1990,BESTie,11/07/2013,YNB,South Korea,,,,EXID
Hyogyeong,Jang Hyogyeong,15/11/1999,ARIAZ,23/10/2019,Rising Star,South Korea,,,,
Hyojin,Kim Hyojin,22/04/1994,ONF,2/08/2017,WM,South Korea,,Seoul,,
Hyojung,Choi Hyojung,28/07/1994,Oh My Girl,21/04/2015,WM,South Korea,,Yangyang,,
Hyomin,Park Sunyoung,30/05/1989,T-ara,29/07/2009,MBK,South Korea,,Busan,,
Hyori,Inn Hyori,2/06/2000,mimiirose,16/09/2022,YES IM,South Korea,,,,
Hyorin,Kim Hyojung,11/12/1990,SISTAR,6/03/2010,Starship,South Korea,,,SISTAR19,
Hyosun,Lim Hyosun,10/07/1998,H.U.B,9/02/2017,New Planet,South Korea,,,,Kiwi Band
Hyosung,Jun Hyoseong,13/10/1989,SECRET,13/10/2009,TS,South Korea,,Cheongju,,
Hyoyeon,Kim Hyoyeon,22/09/1989,SNSD,4/08/2021,Good Luck,South Korea,,Incheon,,
Hyuk,Yang Hyuk,15/03/2000,OMEGA X,17/10/2016,JT Corea,South Korea,,,,ENOi
Hyuk,Koo Bonhyuk,17/04/2000,TEMPEST,2/03/2022,Yuehua,South Korea,,,,
Hyuk,Han Sanghyuk,5/07/1995,VIXX,24/05/2012,Jellyfish,South Korea,,Daejeon,Big Byung,
Hyukjin,Jang Hyukjin,20/12/1993,100%,18/09/2012,TOP Media,South Korea,,Busan,,
Hyun,Park Sunghyun,25/08/1997,7 O'clock,26/08/2014,Jungle,South Korea,,Suwon,,
Hyuna,Moon Hyuna,19/01/1987,,,,South Korea,,Yeosu,,9Muses
HyunA,Kim Hyuna,6/06/1992,4minute,15/06/2009,Cube,South Korea,,Jeolla,,Wonder Girls
Hyunbin,Moon Hyunbin,26/02/2000,Ciipher,15/03/2021,Rain,South Korea,,,,
Hyunbin,Kwon Hyunbin,4/03/1997,JBJ,18/10/2017,Fave,South Korea,,Seoul,,
Hyunbin,Kim Hyunbin,26/05/2004,TRI.BE,17/02/2021,TR - Mellow,South Korea,,,,
Hyungseo,Myeong Hyeongseo,25/06/2001,CLASS:y,5/05/2022,Universal,South Korea,,,,Busters
